dialect,standard,region
퍼뜩가라,얼른가라,경상도
보고있나,보고있니,경상도
말해라,말해라,경상도
주둥이닫아라,입다물어라,경상도
묻지마라,묻지마라,경상도
얼씨구좋다,정말좋다,경상도
웃지마라,웃지마라,경상도
기다리라,기다려라,경상도
아무거나하이소,그냥하세요,경상도
뭐라도하이소,뭐라도하세요,경상도
싸라,싸라,경상도
앉아있어라,앉아있어,경상도
일하자,일하자,경상도
모하노,뭐하니,경상도
자빠져자라,눕고자라,경상도
고라라,졸아라,경상도
서삐라,서버려라,경상도
달래라,달래라,경상도
돌아보소,돌아보세요,경상도
기어올라가삐라,기어올라가버려라,경상도
씻어라,씻어라,경상도
담아라,담아라,경상도
내놔라,내놔라,경상도
지꺼뿌라,찢어버려라,경상도
깨무라,깨물어라,경상도
돌리라,돌려라,경상도
비끼라,비켜라,경상도
내리라,내려라,경상도
올리라,올려라,경상도
서라카이,서라고하네,경상도
뛰라,뛰어라,경상도
느그라,누워라,경상도
담그라,담궈라,경상도
씌우라,씌워라,경상도
말라삐라,말아버려라,경상도
빨아뿌라,빨아버려라,경상도
묻어뿌라,묻어버려라,경상도
씹어뿌라,씹어버려라,경상도
퉤하이소,뱉으세요,경상도
뭉개삐라,뭉개버려라,경상도
삐끼라,비켜라,경상도
데려가라,데려가라,경상도
데불고가라,데리고가라,경상도
묻어라,묻어라,경상도
버티라,버텨라,경상도
견디라,견뎌라,경상도
놀아보소,놀아보세요,경상도
해보이소,해보세요,경상도
들어보이소,들어보세요,경상도
알라주이소,알려주세요,경상도
보여주이소,보여주세요,경상도
갖다주이소,가져다주세요,경상도
끓이라,끓여라,경상도
튀기라,튀겨라,경상도
지지라,지져라,경상도
썰어라,썰어라,경상도
다듬어라,다듬어라,경상도
챙기라,챙겨라,경상도
빠뜨리라,빠뜨려라,경상도
꽂으라,꽂아라,경상도
쑤시라,쑤셔라,경상도
지지마라,지지마라,경상도
때리마라,때리지마라,경상도
노지마라,놀지마라,경상도
모리마라,모르지마라,경상도
웃지마소,웃지마세요,경상도
고맙데이,고맙습니다,경상도
배부르데이,배부르네요,경상도
덥데이,덥네요,경상도
춥데이,춥네요,경상도
무섭데이,무섭네요,경상도
기분조으이더,기분좋아요,경상도
살맛난다아이가,정말살맛나네요,경상도
속이다시원하데이,속이다시원합니다,경상도
배꼽잡겠다,아주웃깁니다,경상도
심봤다,좋은걸찾았어요,경상도
히야,형,경상도
마,야,경상도
와이라노,왜이래,경상도
뭔데,뭔데,경상도
우야노,어떻게해,경상도
어데고,어디야,경상도
언제고,언제야,경상도
얼마고,얼마야,경상도
와그라노,왜그래,경상도
이짜노,이렇잖아,경상도
